event,team_number,match_number,team_alliance,team_position,field_position,auto_high_cubes,auto_mid_cubes,auto_hybrid_cubes,auto_high_cones,auto_mid_cones,auto_hybrid_cones,auto_balance,auto_dock,auto_mobility,teleop_high_cubes,teleop_mid_cubes,teleop_hybrid_cubes,teleop_high_cones,teleop_mid_cones,teleop_hybrid_cones,teleop_shuttle,teleop_defend,end_balance,end_dock,end_park,end_num_on_station,no_show,broke_down,summary_notes,timestamp
PCH Champs,343,19,red,3,Center,0,1,0,0,0,0,TRUE,FALSE,TRUE,0,1,1,0,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,,2023-04-07 9:40:17
PCH Champs,6366,19,red,2,Center,1,0,0,0,0,0,FALSE,FALSE,TRUE,0,2,1,0,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,Struggled to keep hopd of cubes,2023-04-07 9:40:36
PCH Champs,6829,19,red,1,Lane,1,0,0,0,0,0,FALSE,FALSE,TRUE,0,1,0,4,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,Really fast,2023-04-07 9:40:30
PCH Champs,3490,20,blue,0,Lane,0,0,0,0,0,0,FALSE,FALSE,TRUE,0,1,0,0,3,1,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,Slow on the pick up and scoring of game pieces,2023-04-07 9:47:26
PCH Champs,6340,20,blue,2,Center,1,0,0,0,0,0,TRUE,FALSE,TRUE,0,1,0,1,3,0,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,null,2023-04-07 9:47:01
PCH Champs,4533,20,blue,3,Bump,1,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,0,1,0,2,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-07 9:46:55
PCH Champs,1683,20,red,2,Lane,1,0,0,1,0,0,FALSE,FALSE,TRUE,2,1,1,3,2,0,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,Very good at moving game pieces,2023-04-07 9:47:48
PCH Champs,1414,20,red,3,Center,0,0,0,1,0,0,TRUE,FALSE,TRUE,0,0,0,1,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,good simple build clumsy gameplay,2023-04-07 9:47:27
PCH Champs,342,20,red,1,Lane,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,1,1,0,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-07 9:47:00
PCH Champs,9260,21,blue,0,Lane,0,0,0,0,0,1,FALSE,FALSE,TRUE,1,0,0,2,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,null,2023-04-07 9:54:46
PCH Champs,4189,21,blue,2,Center,1,0,0,0,0,0,TRUE,FALSE,FALSE,0,0,0,3,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,Incured a foul and dropped 2 cones in the community,2023-04-07 9:55:20
PCH Champs,4701,21,blue,3,Lane,1,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,null,2023-04-07 9:54:43
