event,team_number,match_number,team_alliance,team_position,field_position,auto_high_cubes,auto_mid_cubes,auto_hybrid_cubes,auto_high_cones,auto_mid_cones,auto_hybrid_cones,auto_balance,auto_dock,auto_mobility,teleop_high_cubes,teleop_mid_cubes,teleop_hybrid_cubes,teleop_high_cones,teleop_mid_cones,teleop_hybrid_cones,teleop_shuttle,teleop_defend,end_balance,end_dock,end_park,end_num_on_station,no_show,broke_down,summary_notes,timestamp
Hartsville,3489,6,blue,3,Center,0,0,1,0,0,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,lost comes during match. robot was physically falling apart,2023-03-24 16:12:05
Hartsville,3489,11,red,2,Center,0,0,2,0,0,0,null,null,null,0,0,0,0,0,0,null,null,null,null,TRUE,2,null,TRUE,null,2023-03-24 16:21:02
Hartsville,3489,15,red,2,Bump,0,0,2,0,0,0,null,null,null,0,0,0,0,2,0,null,null,TRUE,FALSE,null,2,null,null,Focuses on cones seems to be very touch sensitive only goes for middle and low,2023-03-24 16:11:34
Hartsville,3489,24,blue,2,Center,0,0,2,0,0,0,TRUE,null,null,0,0,0,0,2,0,null,null,null,null,TRUE,2,null,null,Only middle struggles a bit with placing,2023-03-24 16:05:16
Hartsville,3489,29,red,1,Center,0,0,2,0,0,0,TRUE,null,TRUE,0,0,0,0,2,2,null,null,TRUE,null,null,2,null,null,null,2023-03-24 15:52:26
Hartsville,3489,34,blue,1,Lane,0,0,2,0,0,0,null,null,TRUE,0,0,0,0,2,0,TRUE,null,TRUE,TRUE,null,2,null,null,struggled to grab the cone.,2023-03-24 15:44:28
Hartsville,3489,43,red,3,Lane,0,0,2,0,0,0,FALSE,FALSE,TRUE,0,0,0,2,2,2,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-03-24 15:35:29
Hartsville,3489,46,red,3,Lane,0,0,2,0,0,0,null,null,TRUE,0,0,0,0,2,2,TRUE,null,TRUE,null,null,2,null,null,null,2023-03-24 15:51:44
Hartsville,3490,2,red,1,Center,0,0,2,0,0,0,null,TRUE,null,2,0,0,2,0,2,null,null,TRUE,null,null,2,null,null,Struggling to aline and pick up pieces blanced in auto but not quick enough to count point wise,2023-03-24 15:43:16
Hartsville,3490,5,red,1,Center,2,0,0,0,0,0,null,TRUE,TRUE,0,0,0,2,0,0,null,null,TRUE,null,null,2,null,null,null,2023-03-24 16:12:24
Hartsville,3490,13,blue,2,Center,0,0,0,0,0,0,TRUE,FALSE,TRUE,0,0,3,0,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-03-24 16:20:33
Hartsville,3490,16,red,2,Center,2,0,0,0,0,0,null,TRUE,null,0,0,0,0,0,0,null,null,null,TRUE,null,2,null,null,Seems to go to fast and problem with claw,2023-03-24 15:24:51
Hartsville,3490,19,red,3,Center,2,0,0,0,0,0,FALSE,TRUE,TRUE,0,0,0,2,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,Struggled grabbing cone from human player,2023-03-24 15:16:32
Hartsville,3490,23,blue,1,Center,2,0,0,0,0,0,null,TRUE,TRUE,0,0,2,2,0,0,TRUE,null,TRUE,null,null,2,null,null,Couldn’t easily collect pieces from substation. close to getting balance in autonomous but charge station was still moving after 3 seconds,2023-03-24 15:00:30
Hartsville,3490,30,blue,2,Center,0,0,2,0,0,0,null,null,TRUE,0,0,0,2,0,0,null,null,TRUE,null,null,2,null,null,Failed ballence attempt.,2023-03-24 15:08:32
Hartsville,3490,34,blue,3,Center,2,0,0,0,0,0,TRUE,null,TRUE,0,0,0,2,0,0,null,null,TRUE,null,null,2,null,null,almost tipped,2023-03-24 14:52:16
Hartsville,3490,38,red,2,Center,2,0,0,0,0,0,null,TRUE,null,0,0,0,2,0,0,null,null,TRUE,null,null,2,null,null,null,2023-03-24 14:43:37
Hartsville,3490,41,red,3,Center,0,0,0,0,0,0,TRUE,null,TRUE,0,0,0,2,0,2,null,null,TRUE,null,null,3,null,null,null,2023-03-24 15:24:57
Hartsville,3976,1,red,2,Lane,0,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,2,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,TRUE,,2023-03-24 15:17:18
Hartsville,3976,8,blue,1,Bump,0,0,0,0,0,0,null,null,TRUE,0,0,2,0,0,0,null,null,null,TRUE,FALSE,2,null,null,Arm was out of control and destroyed itself,2023-03-24 15:09:17
Hartsville,3976,11,red,1,Lane,0,0,2,0,0,0,null,null,TRUE,0,0,0,0,0,0,null,null,null,null,TRUE,2,null,TRUE,stopped dead after auto,2023-03-24 15:08:21
